Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Match Report
2016-02-21,16:00 ,FA Cup,Fifth round,Sun,Home,W,5,1,Manchester City,0,0,0,,,,,,,,,0,Match Report
2016-02-27,15:00 ,Premier League,Matchweek 27,Sat,Away,W,2,1,Southampton,1,0,0,11,10,2,23,7,13,,,0,Match Report
2016-03-01,19:45 ,Premier League,Matchweek 28,Tue,Away,W,2,1,Norwich City,2,0,0,5,17,2,12,19,16,,,0,Match Report
2016-03-05,15:00 ,Premier League,Matchweek 29,Sat,Home,D,1,1,Stoke City,1,0,0,9,8,3,24,17,14,,,0,Match Report
2016-03-09,19:45 ,Champions Lg,Round of 16,Wed,Home,L,1,2,fr Paris S-G,3,0,0,16,12,2,15,14,23,0,0,0,Match Report
2016-03-12,17:30 ,FA Cup,Quarter-finals,Sat,Away,L,0,2,Everton,2,1,1,,,,,,,,,0,Match Report
2016-03-19,15:00 ,Premier League,Matchweek 31,Sat,Home,D,2,2,West Ham,3,0,0,13,13,1,28,15,13,,,0,Match Report
2016-04-02,12:45 ,Premier League,Matchweek 32,Sat,Away,W,4,0,Aston Villa,1,0,0,8,12,3,5,12,19,,,0,Match Report
2016-04-09,15:00 ,Premier League,Matchweek 33,Sat,Away,L,0,1,Swansea City,4,0,0,13,14,3,28,9,16,,,0,Match Report
2016-04-16,17:30 ,Premier League,Matchweek 34,Sat,Home,L,0,3,Manchester City,2,1,0,12,15,5,27,8,16,,,0,Match Report
2016-04-23,15:00 ,Premier League,Matchweek 35,Sat,Away,W,4,1,Bournemouth,0,0,0,4,10,3,12,11,20,,,0,Match Report
2016-05-02,20:00 ,Premier League,Matchweek 36,Mon,Home,D,2,2,Tottenham,3,0,0,9,20,3,20,13,18,,,0,Match Report
2016-05-07,15:00 ,Premier League,Matchweek 37,Sat,Away,L,2,3,Sunderland,3,1,1,9,11,1,8,5,12,,,0,Match Report
2016-05-11,20:00 ,Premier League,Matchweek 30,Wed,Away,D,1,1,Liverpool,1,0,0,12,11,2,8,10,22,,,0,Match Report
2016-05-15,15:00 ,Premier League,Matchweek 38,Sun,Home,D,1,1,Leicester City,0,0,0,5,12,8,16,15,20,,,0,Match Report
