Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2015-12-28,17:30 ,Premier League,Matchweek 19,Mon,Away,D,0,0,Manchester Utd,,,,,,,,10,,,,,,,,,,,,,,,,,,Match Report
2016-01-03,13:30 ,Premier League,Matchweek 20,Sun,Away,W,3,0,Crystal Palace,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2016-01-10,14:00 ,FA Cup,Third round,Sun,Home,W,2,0,Scunthorpe Utd,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2016-01-13,19:45 ,Premier League,Matchweek 21,Wed,Home,D,2,2,West Brom,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2016-01-16,15:00 ,Premier League,Matchweek 22,Sat,Home,D,3,3,Everton,,,,,,,,31,,,,,,,,,,,,,,,,,,Match Report
2016-01-24,16:00 ,Premier League,Matchweek 23,Sun,Away,W,1,0,Arsenal,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2016-01-31,16:00 ,FA Cup,Fourth round,Sun,Away,W,5,1,MK Dons,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2016-02-03,19:45 ,Premier League,Matchweek 24,Wed,Away,D,0,0,Watford,,,,,,,,22,,,,,,,,,,,,,,,,,,Match Report
2016-02-07,16:00 ,Premier League,Matchweek 25,Sun,Home,D,1,1,Manchester Utd,,,,,,,,32,,,,,,,,,,,,,,,,,,Match Report
2016-02-13,17:30 ,Premier League,Matchweek 26,Sat,Home,W,5,1,Newcastle Utd,,,,,,,,14,,,,,,,,,,,,,,,,,,Match Report
2016-02-16,20:45 ,Champions Lg,Round of 16,Tue,Away,L,1,2,fr Paris S-G,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2016-02-21,16:00 ,FA Cup,Fifth round,Sun,Home,W,5,1,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2016-02-27,15:00 ,Premier League,Matchweek 27,Sat,Away,W,2,1,Southampton,,,,,,,,23,,,,,,,,,,,,,,,,,,Match Report
2016-03-01,19:45 ,Premier League,Matchweek 28,Tue,Away,W,2,1,Norwich City,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2016-03-05,15:00 ,Premier League,Matchweek 29,Sat,Home,D,1,1,Stoke City,,,,,,,,24,,,,,,,,,,,,,,,,,,Match Report
2016-03-09,19:45 ,Champions Lg,Round of 16,Wed,Home,L,1,2,fr Paris S-G,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2016-03-12,17:30 ,FA Cup,Quarter-finals,Sat,Away,L,0,2,Everton,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2016-03-19,15:00 ,Premier League,Matchweek 31,Sat,Home,D,2,2,West Ham,,,,,,,,28,,,,,,,,,,,,,,,,,,Match Report
2016-04-02,12:45 ,Premier League,Matchweek 32,Sat,Away,W,4,0,Aston Villa,,,,,,,,5,,,,,,,,,,,,,,,,,,Match Report
2016-04-09,15:00 ,Premier League,Matchweek 33,Sat,Away,L,0,1,Swansea City,,,,,,,,28,,,,,,,,,,,,,,,,,,Match Report
2016-04-16,17:30 ,Premier League,Matchweek 34,Sat,Home,L,0,3,Manchester City,,,,,,,,27,,,,,,,,,,,,,,,,,,Match Report
2016-04-23,15:00 ,Premier League,Matchweek 35,Sat,Away,W,4,1,Bournemouth,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2016-05-02,20:00 ,Premier League,Matchweek 36,Mon,Home,D,2,2,Tottenham,,,,,,,,20,,,,,,,,,,,,,,,,,,Match Report
2016-05-07,15:00 ,Premier League,Matchweek 37,Sat,Away,L,2,3,Sunderland,,,,,,,,8,,,,,,,,,,,,,,,,,,Match Report
2016-05-11,20:00 ,Premier League,Matchweek 30,Wed,Away,D,1,1,Liverpool,,,,,,,,8,,,,,,,,,,,,,,,,,,Match Report
2016-05-15,15:00 ,Premier League,Matchweek 38,Sun,Home,D,1,1,Leicester City,,,,,,,,16,,,,,,,,,,,,,,,,,,Match Report
