Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2019-10-29,21:15 ,La Liga,Matchweek 11,Tue,Home,W,5,1,Valladolid,0,0,0,9,14,1,6,7,18,0,0,0,91,13,8,61.9,Match Report
2019-11-02,16:00 ,La Liga,Matchweek 12,Sat,Away,L,1,3,Levante,6,0,0,13,9,5,6,3,7,1,0,0,80,10,1,90.9,Match Report
2019-11-05,18:55 ,Champions Lg,Group stage,Tue,Home,D,0,0,cz Slavia Prague,3,0,0,10,17,3,5,7,9,0,0,0,86,15,10,60.0,Match Report
2019-11-09,21:00 ,La Liga,Matchweek 13,Sat,Home,W,4,1,Celta Vigo,4,0,0,18,13,1,5,6,6,0,0,0,78,8,6,57.1,Match Report
2019-11-23,13:00 ,La Liga,Matchweek 14,Sat,Away,W,2,1,Leganés,2,0,0,10,10,1,13,2,14,0,0,0,97,10,4,71.4,Match Report
2019-11-27,21:00 ,Champions Lg,Group stage,Wed,Home,W,3,1,de Dortmund,2,0,0,13,6,2,7,12,7,0,0,0,87,6,6,50.0,Match Report
2019-12-01,21:00 ,La Liga,Matchweek 15,Sun,Away,W,1,0,Atlético Madrid,4,0,0,11,10,1,5,7,6,0,0,0,83,16,14,53.3,Match Report
2019-12-07,21:00 ,La Liga,Matchweek 16,Sat,Home,W,5,2,Mallorca,3,0,0,15,10,2,18,11,10,0,0,0,84,6,2,75.0,Match Report
2019-12-10,21:00 ,Champions Lg,Group stage,Tue,Away,W,2,1,it Inter,2,0,0,11,12,1,4,11,21,0,0,0,96,10,12,45.5,Match Report
2019-12-14,16:00 ,La Liga,Matchweek 17,Sat,Away,D,2,2,Real Sociedad,1,0,0,8,6,1,9,4,14,0,1,0,69,15,2,88.2,Match Report
2019-12-18,20:00 ,La Liga,Matchweek 10,Wed,Home,D,0,0,Real Madrid,3,0,0,5,16,1,6,8,8,0,0,0,58,7,9,43.8,Match Report
2019-12-21,16:00 ,La Liga,Matchweek 18,Sat,Home,W,4,1,Alavés,2,0,0,10,9,8,15,9,6,0,0,0,85,9,9,50.0,Match Report
2020-01-04,21:00 ,La Liga,Matchweek 19,Sat,Away,D,2,2,Espanyol,2,1,1,11,17,1,11,4,9,0,0,0,87,17,14,54.8,Match Report
2020-01-09,20:00 ,Supercopa de España,Semi-finals,Thu,Home,L,2,3,Atlético Madrid,4,0,0,18,14,2,22,10,5,,,0,,,,,Match Report
2020-01-19,21:00 ,La Liga,Matchweek 20,Sun,Home,W,1,0,Granada,0,0,0,11,17,1,9,6,13,0,0,0,104,16,12,57.1,Match Report
2020-01-22,19:00 ,Copa del Rey,Round of 32,Wed,Away,W,2,1,UD Ibiza,1,0,0,7,21,2,12,8,7,,,0,,,,,Match Report
2020-01-25,16:00 ,La Liga,Matchweek 21,Sat,Away,L,0,2,Valencia,3,0,0,16,13,1,11,3,9,0,1,1,66,12,6,66.7,Match Report
2020-01-30,19:00 ,Copa del Rey,Round of 16,Thu,Home,W,5,0,Leganés,0,0,0,13,18,3,6,12,7,,,0,,,,,Match Report
2020-02-02,21:00 ,La Liga,Matchweek 22,Sun,Home,W,2,1,Levante,2,0,0,6,9,1,10,9,10,0,0,0,75,6,6,50.0,Match Report
2020-02-06,21:00 ,Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,6,0,0,13,14,2,6,8,10,,,1,,,,,Match Report
2020-02-09,21:00 ,La Liga,Matchweek 23,Sun,Away,W,3,2,Betis,5,1,1,17,21,4,7,3,9,0,1,0,79,8,11,42.1,Match Report
2020-02-15,16:00 ,La Liga,Matchweek 24,Sat,Home,W,2,1,Getafe,3,0,0,12,28,2,2,6,10,0,0,0,90,14,14,50.0,Match Report
2020-02-22,16:00 ,La Liga,Matchweek 25,Sat,Home,W,5,0,Eibar,0,0,0,8,13,8,6,10,12,0,0,0,92,9,7,56.3,Match Report
2020-02-25,21:00 ,Champions Lg,Round of 16,Tue,Away,D,1,1,it Napoli,5,1,1,11,7,2,11,6,7,0,0,0,81,11,2,84.6,Match Report
2020-03-01,21:00 ,La Liga,Matchweek 26,Sun,Away,L,0,2,Real Madrid,2,0,0,10,13,0,10,15,9,0,0,0,71,4,8,33.3,Match Report
2020-03-07,18:30 ,La Liga,Matchweek 27,Sat,Home,W,1,0,Real Sociedad,4,0,0,12,8,3,7,10,8,0,0,0,88,10,9,52.6,Match Report
2020-06-13,22:00 ,La Liga,Matchweek 28,Sat,Away,W,4,0,Mallorca,2,0,0,5,17,2,10,12,5,0,0,0,80,17,7,70.8,Match Report
2020-06-16,22:00 ,La Liga,Matchweek 29,Tue,Home,W,2,0,Leganés,5,0,0,16,16,1,6,8,11,1,0,0,81,11,8,57.9,Match Report
2020-06-19,22:00 ,La Liga,Matchweek 30,Fri,Away,D,0,0,Sevilla,2,0,0,8,17,1,17,7,10,0,0,0,89,10,10,50.0,Match Report
2020-06-23,22:00 ,La Liga,Matchweek 31,Tue,Home,W,1,0,Athletic Club,2,0,0,10,15,2,7,5,6,0,0,0,108,21,16,56.8,Match Report
2020-06-27,17:00 ,La Liga,Matchweek 32,Sat,Away,D,2,2,Celta Vigo,4,0,0,10,18,0,11,4,10,0,0,0,93,8,7,53.3,Match Report
2020-06-30,22:00 ,La Liga,Matchweek 33,Tue,Home,D,2,2,Atlético Madrid,3,0,0,11,13,0,11,4,12,1,2,0,75,13,14,48.1,Match Report
2020-07-05,22:00 ,La Liga,Matchweek 34,Sun,Away,W,4,1,Villarreal,0,0,0,11,10,3,8,8,7,0,0,0,68,11,2,84.6,Match Report
2020-07-08,22:00 ,La Liga,Matchweek 35,Wed,Home,W,1,0,Espanyol,0,1,0,8,12,3,13,5,7,0,0,0,77,18,11,62.1,Match Report
2020-07-11,19:30 ,La Liga,Matchweek 36,Sat,Away,W,1,0,Valladolid,2,0,0,13,14,0,5,5,7,0,0,0,84,13,2,86.7,Match Report
2020-07-16,21:00 ,La Liga,Matchweek 37,Thu,Home,L,1,2,Osasuna,4,0,0,7,13,2,11,3,6,0,0,0,85,22,17,56.4,Match Report
2020-07-19,17:00 ,La Liga,Matchweek 38,Sun,Away,W,5,0,Alavés,0,0,0,15,17,2,9,0,9,0,0,0,75,7,5,58.3,Match Report
2020-08-08,21:00 ,Champions Lg,Round of 16,Sat,Home,W,3,1,it Napoli,1,0,0,8,17,0,5,11,8,1,1,0,57,4,5,44.4,Match Report
2020-08-14,20:00 ,Champions Lg,Quarter-finals,Fri,Neutral,L,2,8,de Bayern Munich,3,0,0,13,20,4,8,3,3,0,0,0,61,11,11,50.0,Match Report
