Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-04-06,20:45 (11:45),La Liga,Matchweek 31,Sat,Home,W,2,0,Atlético Madrid,2.2,0.5,64,"92,453",Lionel Messi,4-3-3,Jesús Gil,Match Report,
2019-04-10,20:00 (12:00),Champions Lg,Quarter-finals,Wed,Away,W,1,0,eng Manchester Utd,0.5,0.4,65,"74,093",Lionel Messi,4-3-3,Gianluca Rocchi,Match Report,Leg 1 of 2
2019-04-13,16:15 (07:15),La Liga,Matchweek 32,Sat,Away,D,0,0,Huesca,1.0,0.3,72,"7,332",Marc-André ter Stegen,3-5-2,Guillermo Cuadra,Match Report,
2019-04-16,21:00 (12:00),Champions Lg,Quarter-finals,Tue,Home,W,3,0,eng Manchester Utd,1.3,0.4,66,"96,708",Lionel Messi,4-3-3,Felix Brych,Match Report,Leg 2 of 2; Barcelona won
2019-04-20,20:45 (11:45),La Liga,Matchweek 33,Sat,Home,W,2,1,Real Sociedad,1.0,1.0,51,"75,470",Lionel Messi,4-3-3,Pablo González,Match Report,
2019-04-23,21:30 (12:30),La Liga,Matchweek 34,Tue,Away,W,2,0,Alavés,2.5,0.3,76,"18,735",Sergio Busquets,4-3-3,Adrián Cordero,Match Report,
2019-04-27,20:45 (11:45),La Liga,Matchweek 35,Sat,Home,W,1,0,Levante,2.1,0.8,62,"91,917",Gerard Piqué,4-3-3,Ricardo de Burgos,Match Report,
2019-05-01,21:00 (12:00),Champions Lg,Semi-finals,Wed,Home,W,3,0,eng Liverpool,2.3,1.6,48,"98,299",Lionel Messi,4-3-3,Björn Kuipers,Match Report,Leg 1 of 2
2019-05-04,20:45 (11:45),La Liga,Matchweek 36,Sat,Away,L,0,2,Celta Vigo,0.5,1.8,65,"22,519",Jasper Cillessen,4-3-3,José Sánchez,Match Report,
2019-05-07,20:00 (12:00),Champions Lg,Semi-finals,Tue,Away,L,0,4,eng Liverpool,1.0,1.8,58,"55,212",Lionel Messi,4-4-1-1,Cüneyt Çakιr,Match Report,Leg 2 of 2; Liverpool won
2019-05-12,18:30 (09:30),La Liga,Matchweek 37,Sun,Home,W,2,0,Getafe,2.3,1.1,78,"57,088",Lionel Messi,4-3-3,José González,Match Report,
2019-05-19,16:15 (07:15),La Liga,Matchweek 38,Sun,Away,D,2,2,Eibar,1.0,1.3,60,"5,145",Lionel Messi,4-3-3,José Luis Munuera,Match Report,
2019-05-25,21:00 (12:00),Copa del Rey,Final,Sat,Neutral,L,1,2,Valencia,,,77,"53,698",Lionel Messi,4-1-4-1,Alberto Undiano,Match Report,
